title,link,saleprice,reviews
"Lenovo IdeaPad Gaming 3 Intel Core i5 10th Gen |15.6 inch(39.6 cm) Full HD IPS Gaming Laptop (8GB/1TB HDD/Windows 10/NVIDIA GTX 1650 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 81Y40183IN",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02820323BADX01DFBX98&url=%2FLenovo-IdeaPad-Windows-Graphics-81Y40183IN%2Fdp%2FB096SK39ZB%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896576%26sr%3D8-1-spons%26psc%3D1&qualifier=1629896576&id=4816452793399747&widgetName=sp_atf,"56,990",4.1 out of 5 stars
"Lenovo IdeaPad Slim 3 2021 11th Gen Intel Core i5 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/Windows 10/MS Office/Backlit Keyboard/2 Year Warranty/Arctic Grey/1.65Kg), 82H80156IN",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03949342H8PZFR3LW7WD&url=%2FLenovo-IdeaPad-Keyboard-Warranty-82H80156IN%2Fdp%2FB09BCSPX7X%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1629896576%26sr%3D8-2-spons%26psc%3D1&qualifier=1629896576&id=4816452793399747&widgetName=sp_atf,"54,990",5.0 out of 5 stars
"ASUS VivoBook 14 (2020) Intel Core i3-1005G1 10th Gen 14-inch (35.56 cms) FHD Thin and Light Laptop (4GB/256GB NVMe SSD/Integrated Graphics/Windows 10/MS Office 2019/Silver/1.6 kg), X415JA-EK312TS",/ASUS-VivoBook-i3-1005G1-Integrated-X415JA-EK312TS/dp/B08JMSHVJW/ref=sr_1_3?dchild=1&keywords=laptops&qid=1629896576&sr=8-3,"35,990",3.6 out of 5 stars
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD + 256GB SSD, 15.6"" (39.2 cms) FHD Screen, Windows 10, MS Office (15s-gr0012AU)",/HP-3-3250-Laptop-Windows-15s-gr0012AU/dp/B08T6THSMQ/ref=sr_1_omk_4?dchild=1&keywords=laptops&qid=1629896576&sr=8-4,"42,999",4.1 out of 5 stars
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",/HP-3-3250-Laptop-Windows-15s-gr0011AU/dp/B08T6SJ215/ref=sr_1_5?dchild=1&keywords=laptops&qid=1629896576&sr=8-5,"37,590",3.8 out of 5 stars
"HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au",/HP-Athlon-15-6-inch-Silver-3050U-15s-gy0001au/dp/B08HJYFZ14/ref=sr_1_6?dchild=1&keywords=laptops&qid=1629896576&sr=8-6,"29,632",3.5 out of 5 stars
"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop (8GB/512GB SSD/Win 10/MS Offce/Integrated Graphics/Natural Silver/1.69 Kg), 15s-fr2006TU",/HP-Processor-39-62cms-Integrated-15s-fr2006TU/dp/B08XNYH4LX/ref=sr_1_7?dchild=1&keywords=laptops&qid=1629896576&sr=8-7,"44,890",4.1 out of 5 stars
"Lenovo V15 AMD 15.6-inch FHD Thin and Light Laptop (AMD Athlon Silver 3050 U/ 4GB RAM/ 1TB HDD/ DOS /Integrated AMD Radeon Graphics/ Iron Grey/ 1.85 kg), 82C700HXIH",/Lenovo-15-6-inch-Integrated-Graphics-82C700HXIH/dp/B095JW3CCX/ref=sr_1_8?dchild=1&keywords=laptops&qid=1629896576&sr=8-8,"28,790",3.6 out of 5 stars
"Lenovo V15 AMD 15.6-inch (39.6 cm) FHD Thin and Light Laptop (AMD Athlon Gold 3150U/ 4GB RAM/ 1TB HDD/ Windows 10 Home/Integrated AMD Radeon Graphics/ Iron Grey), 82C700JEIH",/Lenovo-15-6-inch-Integrated-Graphics-82C700JEIH/dp/B095YWBXFH/ref=sr_1_9?dchild=1&keywords=laptops&qid=1629896576&sr=8-9,"29,690",2.8 out of 5 stars
"Dell 14 (2021) Thin & Light i3-1005G1 Laptop, 4Gb RAM, 1TB HDD + 256GB SSD, 14” (35.56 Cms) FHD AG Display, Win 10 + MSO, Black (Vostro 3401, D552151WIN9BE)",/Dell-i3-1005G1-Integrated-Graphics-D552151WIN9BE/dp/B08R777GBL/ref=sr_1_10?dchild=1&keywords=laptops&qid=1629896576&sr=8-10,"39,057",4.2 out of 5 stars
