title,price,rating
"OPPO F19 Pro+ 5G (Space Silver, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","25,990",4.2 out of 5 stars
"OPPO A74 5G (Fluid Black,6GB RAM,128GB Storage) - 5G Android Smartphone | 5000 mAh Battery | 18W Fast Charge | 90Hz LCD Display","17,990",4.2 out of 5 stars
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor",0,0
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","14,999",4.3 out of 5 stars
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","6,999",4.2 out of 5 stars
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)",0,0
"OPPO A74 5G (Fluid Black,6GB RAM,128GB Storage) - 5G Android Smartphone | 5000 mAh Battery | 18W Fast Charge | 90Hz LCD Display","17,990",4.2 out of 5 stars
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","5,798",3.1 out of 5 stars
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","12,490",4.2 out of 5 stars
"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",0,0
"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-Core Helio G25 Processor","6,999",4.2 out of 5 stars
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","11,999",4.3 out of 5 stars
Redmi 9A (Sea Blue 3GB RAM 32GB Storage)| 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"7,999",4.2 out of 5 stars
"OPPO A31 (Mystery Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990",4.2 out of 5 stars
"Samsung Galaxy A22 5G (Gray, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","19,999",3.2 out of 5 stars
"I KALL K500 4G Smartphone (Blue, 4GB, 64GB)",0,0
"I KALL K260 4G Smartphone (Blue, 2GB, 16GB)",0,0
"realme narzo 30 5G (Racing Blue, 6GB RAM, 128GB Storage) - MediaTek Dimensity 700 processor I Full HD+ display with No Cost EMI/Additional Exchange Offers","15,999",3.5 out of 5 stars
